ident,type,lat,lon,name,country
ADWEL,fix,31.25638888,-85.96413333,ADWEL,US
ADWOT,fix,33.42886944,-112.06892222,ADWOT,US
ADWOW,fix,35.49304444,-97.70907777,ADWOW,US
ADXAB,fix,45.63865833,-118.74461388,ADXAB,US
ADXAC,fix,46.6065,-120.69533333,ADXAC,US
ADYAN,fix,33.87920833,-109.88540555,ADYAN,US
ADYMS,fix,46.42617222,-121.15896944,ADYMS,US
ADYOS,fix,35.04765,-106.92471666,ADYOS,US
ADYTA,fix,28.42063333,-99.17689444,ADYTA,US
ADZAB,fix,38.58175833,-83.62218055,ADZAB,US
ADZES,fix,31.02226111,-83.19482222,ADZES,US
ADZIN,fix,33.17694166,-86.38227777,ADZIN,US
ADZUY,fix,31.883475,-85.12780833,ADZUY,US
AECIA,fix,33.50163611,-117.14467777,AECIA,US
AEDES,fix,43.61178888,-116.35896666,AEDES,US
AEGIS,fix,33.77589722,-116.444975,AEGIS,US
AEJAY,fix,33.37475,-111.47649444,AEJAY,US
AEONS,fix,39.90006666,-105.10271944,AEONS,US
AERIC,fix,42.22115,-83.09735,AERIC,CA
AERIE,fix,64.57049722,-165.83524444,AERIE,US
AEROS,fix,40.49241944,-81.72449444,AEROS,US
AEROZ,fix,30.70374444,-98.86363888,AEROZ,US
